ETSIdentifierId,Installation_INSPIRE_ID,reportingYear,ETSIdentifier
85,"EL.CAED/100091.INSTALLATION",2017,"1-30"
86,"EL.CAED/100093.INSTALLATION",2017,"1-16"
87,"EL.CAED/100094.INSTALLATION",2017,"1-24"
88,"EL.CAED/100088.INSTALLATION",2017,"1-35"
89,"EL.CAED/100089.INSTALLATION",2017,"1-36"
90,"EL.CAED/100095.INSTALLATION",2017,"1-11"
91,"EL.CAED/100096.INSTALLATION",2017,"1-20"
92,"EL.CAED/100097.INSTALLATION",2017,"2-24"
93,"EL.CAED/100104.INSTALLATION",2017,"5-1"
94,"EL.CAED/100106.INSTALLATION",2017,"5-5"
95,"EL.CAED/100108.INSTALLATION",2017,"5-2"
96,"EL.CAED/100083.INSTALLATION",2017,"1-23"
97,"EL.CAED/100084.INSTALLATION",2017,"1-22"
98,"EL.CAED/100085.INSTALLATION",2017,"1-21"
99,"EL.CAED/100086.INSTALLATION",2017,"1-17"
100,"EL.CAED/100098.INSTALLATION",2017,"1-5"
101,"EL.CAED/100099.INSTALLATION",2017,"1-8"
102,"EL.CAED/100100.INSTALLATION",2017,"1-38"
103,"EL.CAED/100101.INSTALLATION",2017,"1-26"
104,"EL.CAED/100102.INSTALLATION",2017,"1-25"
105,"EL.CAED/100001.INSTALLATION",2017,"1-6"
106,"EL.CAED/100004.INSTALLATION",2017,"1-10"
107,"EL.CAED/100009.INSTALLATION",2017,"1-15"
108,"EL.CAED/100015.INSTALLATION",2017,"1-18"
109,"EL.CAED/100017.INSTALLATION",2017,"1-12"
110,"EL.CAED/100020.INSTALLATION",2017,"1-13"
111,"EL.CAED/100072.INSTALLATION",2017,"1-7"
112,"EL.CAED/100082.INSTALLATION",2017,"1-31"
113,"EL.CAED/100103.INSTALLATION",2017,"1-27"
114,"EL.CAED/100074.INSTALLATION",2017,"6-8"
115,"EL.CAED/100075.INSTALLATION",2017,"6-5"
116,"EL.CAED/100076.INSTALLATION",2017,"6-7"
117,"EL.CAED/100078.INSTALLATION",2017,"6-2"
118,"EL.CAED/100079.INSTALLATION",2017,"6-4"
119,"EL.CAED/100080.INSTALLATION",2017,"6-1"
120,"EL.CAED/100110.INSTALLATION",2017,"5-3"
121,"EL.CAED/100617.INSTALLATION",2017,"9-1"
122,"EL.CAED/100618.INSTALLATION",2017,"7-7"
123,"EL.CAED/100619.INSTALLATION",2017,"7-4"
124,"EL.CAED/100183.INSTALLATION",2017,"9-16"
125,"EL.CAED/100184.INSTALLATION",2017,"9-47"
126,"EL.CAED/100301.INSTALLATION",2017,"10-14"
127,"EL.CAED/100303.INSTALLATION",2017,"10-8"
128,"EL.CAED/100304.INSTALLATION",2017,"10-13"
129,"EL.CAED/100305.INSTALLATION",2017,"10-6"
130,"EL.CAED/100308.INSTALLATION",2017,"10-16"
131,"EL.CAED/100309.INSTALLATION",2017,"10-18"
132,"EL.CAED/100310.INSTALLATION",2017,"10-17"
133,"EL.CAED/100315.INSTALLATION",2017,"2-5"
134,"EL.CAED/100311.INSTALLATION",2017,"10-15"
135,"EL.CAED/100170.INSTALLATION",2017,"12"
136,"EL.CAED/100171.INSTALLATION",2017,"7-20"
137,"EL.CAED/100173.INSTALLATION",2017,"7-17"
138,"EL.CAED/100178.INSTALLATION",2017,"9-4"
139,"EL.CAED/100179.INSTALLATION",2017,"9-3"
140,"EL.CAED/100187.INSTALLATION",2017,"9-22"
141,"EL.CAED/100188.INSTALLATION",2017,"9-17"
142,"EL.CAED/100189.INSTALLATION",2017,"9-10"
143,"EL.CAED/100327.INSTALLATION",2017,"2-34"
144,"EL.CAED/100332.INSTALLATION",2017,"2-6"
145,"EL.CAED/100336.INSTALLATION",2017,"2-7"
146,"EL.CAED/100338.INSTALLATION",2017,"2-35"
147,"EL.CAED/100347.INSTALLATION",2017,"2-9"
148,"EL.CAED/100349.INSTALLATION",2017,"2-33"
149,"EL.CAED/100350.INSTALLATION",2017,"2-11"
150,"EL.CAED/100048.INSTALLATION",2018,"2-1"
151,"EL.CAED/100053.INSTALLATION",2018,"3-1"
152,"EL.CAED/100058.INSTALLATION",2018,"3-4"
153,"EL.CAED/100062.INSTALLATION",2018,"3-2"
154,"EL.CAED/100065.INSTALLATION",2018,"2-15"
155,"EL.CAED/100066.INSTALLATION",2018,"3-3"
156,"EL.CAED/100029.INSTALLATION",2018,"1-4"
157,"EL.CAED/100035.INSTALLATION",2018,"1-3"
