fileId_EUReg,fileId_EPRTR_LCP,Parent_Installation_INSPIRE_ID,Installation_Part_INSPIRE_ID,ProductionInstallationPart_thematicId,ProductionInstallationPart_thematicIdScheme,nameOfFeature,installationPartName_confidentialityReasonCode,installationPartName_confidentialityReasonName,plantType,pointGeometryLat,pointGeometryLon,dateOfStartOfOperation,publicDisclosure,combustionPlantCategory,totalRatedThermalInput,withinRefinery,untreatedMunicipalWaste,heatReleaseHazardousWaste,totalNominalCapacityAnyWasteType,permittedCapacityHazardous,permittedCapacityNonHazardous,confidentialityReasonCode,confidentialityReasonName,publicDisclosureURL
6891,,"FR.CAED/2546.INSTALLATION","FR.CAED/2546.A.INSTALLATIONPART","0005503680","NationalID","SAVE (EX SAI) CORNILLE (INST A)",,,"WI","48.0817","-1.30943","09/22/00 00:00:00","URL",,,,0,0,6.69999980926514,0,6.69999980926514,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005503680"
6891,,"FR.CAED/2573.INSTALLATION","FR.CAED/2573.A.INSTALLATIONPART","0005503914","NationalID","EAU DU PONANT SPL (INST A)",,,"WI","48.38892","-4.44882","07/09/01 00:00:00","URL",,,,0,0,5.40000009536743,0,5.40000009536743,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005503914"
6891,5868,"FR.CAED/2578.INSTALLATION","FR.CAED/2578.A.INSTALLATIONPART","0005504122","NationalID","EN'RNOV (INST A)",,,"LCP","48.12486","-1.70418","11/15/07 00:00:00",,"Boiler",80,0,0,0,,,,,,
6891,2,"FR.CAED/267.INSTALLATION","FR.CAED/267.A.INSTALLATIONPART","0005101887","NationalID","METEX NOOVISTAGO (INST A)",,,"LCP","49.93177","2.26566","01/15/02 00:00:00",,"Boiler",50,0,0,0,,,,,,
6891,,"FR.CAED/2846.INSTALLATION","FR.CAED/2846.A.INSTALLATIONPART","0005600010","NationalID","LUCANE BAYET (INST A)",,,"WI","46.26331","3.28533","07/08/04 00:00:00","URL",,,,0,0,9.920000076293951,0.920000016689301,9,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005600010"
6891,,"FR.CAED/3454.INSTALLATION","FR.CAED/3454.B.INSTALLATIONPART","0005701477","NationalID","SOCCRAM ZUP CROIX ROUGE (INST B)",,,"co-WI","49.2208","4.01781","05/25/21 00:00:00","URL",,,,0,0,7.59999990463257,0,7.59999990463257,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005701477"
6891,5868,"FR.CAED/3461.INSTALLATION","FR.CAED/3461.A.INSTALLATIONPART","0005701498","NationalID","CRISTAL UNION (INST A)",,,"LCP","49.18948","4.15228","09/01/68 00:00:00",,"Boiler",116,0,0,0,,,,,,
6891,5868,"FR.CAED/3466.INSTALLATION","FR.CAED/3466.A.INSTALLATIONPART","0005701515","NationalID","TEREOS FRANCE (INST A)",,,"LCP","48.7222","3.92123","03/27/74 00:00:00",,"Boiler",260,0,0,0,,,,,,
6891,5868,"FR.CAED/3478.INSTALLATION","FR.CAED/3478.A.INSTALLATIONPART","0005701552","NationalID","ADM BAZANCOURT (INST A)",,,"LCP","49.35056","4.16101","10/12/92 00:00:00",,"Boiler",83,0,0,0,,,,,,
6891,5868,"FR.CAED/349.INSTALLATION","FR.CAED/349.A.INSTALLATIONPART","0005102598","NationalID","CRISTAL UNION (INST A)",,,"LCP","49.97732","3.1016","11/28/75 00:00:00",,"Boiler",150,0,0,0,,,,,,
6891,,"FR.CAED/3507.INSTALLATION","FR.CAED/3507.A.INSTALLATIONPART","0005701701","NationalID","CALCIA (USINE DE COUVROT) (INST A)",,,"co-WI","48.72431","4.58384",,"URL",,,,0,0,153.5,16.5,137,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005701701"
6891,5868,"FR.CAED/3572.INSTALLATION","FR.CAED/3572.A.INSTALLATIONPART","0005702129","NationalID","CRISTAL UNION (INST A)",,,"LCP","48.53215","4.11336","09/11/69 00:00:00",,"Boiler",193,0,0,0,,,,,,
6891,,"FR.CAED/3583.INSTALLATION","FR.CAED/3583.A.INSTALLATIONPART","0005702199","NationalID","SHMVD   (INST A)",,,"WI","48.14","5.1","04/01/96 00:00:00","URL",,,,0,0,10,0,10,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005702199"
6891,5868,"FR.CAED/3638.INSTALLATION","FR.CAED/3638.A.INSTALLATIONPART","0005702721","NationalID","SAICA PAPER FRANCE (INST A)",,,"LCP","48.49652","3.4831","10/08/04 00:00:00",,"Boiler",81,0,0,0,,,,,,
6891,,"FR.CAED/3644.INSTALLATION","FR.CAED/3644.A.INSTALLATIONPART","0005702761","NationalID","AUREADE LA VEUVE (INST A)",,,"WI","49.0382","4.32504","03/02/04 00:00:00","URL",,,,0,0,3,0,3,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005702761"
6891,5868,"FR.CAED/3680.INSTALLATION","FR.CAED/3680.A.INSTALLATIONPART","0005702999","NationalID","SAIPOL (INST A)",,,"LCP","48.49683","3.46375","03/12/09 00:00:00",,"Boiler",64,0,0,0,,,,,,
6891,5868,"FR.CAED/3814.INSTALLATION","FR.CAED/3814.A.INSTALLATIONPART","0005800297","NationalID","TOTALENERGIES RAFFINAGE FRANCE (INST A)",,,"LCP","49.51034","0.22592","01/01/49 00:00:00",,"GasTurbine",1967,1,0,0,,,,,,
6891,5868,"FR.CAED/3829.INSTALLATION","FR.CAED/3829.A.INSTALLATIONPART","0005800331","NationalID","YARA FRANCE (INST A)",,,"LCP","49.5052","0.20993","04/25/68 00:00:00",,"Boiler",139,0,0,0,,,,,,
6891,5868,"FR.CAED/6705.INSTALLATION","FR.CAED/6705.A.INSTALLATIONPART","0006301207","NationalID","TOTALENERGIES MARKETING SERVICES (INST A)",,,"LCP","47.3723","-2.12806","01/01/53 00:00:00",,"Others",483,1,0,0,,,,,,
6891,5868,"FR.CAED/6708.INSTALLATION","FR.CAED/6708.A.INSTALLATIONPART","0006301217","NationalID","ELECTRICITE DE FRANCE (INST A)",,,"LCP","47.27406","-1.79271","12/20/83 00:00:00",,"Boiler",3047,0,0,0,,,,,,
6891,,"FR.CAED/673.INSTALLATION","FR.CAED/673.A.INSTALLATIONPART","0005200678","NationalID","VALBOM (EX RIVE DROITE ENVIRONNEMENT) (INST A)",,,"WI","44.8513","-0.50707","12/07/98 00:00:00","URL",,,,0,0,19.2000007629395,0,19.2000007629395,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200678"
6891,,"FR.CAED/6753.INSTALLATION","FR.CAED/6753.A.INSTALLATIONPART","0006301344","NationalID","SYNERVAL (EX SEC) (INST A)",,,"WI","47.981","0.168","02/15/73 00:00:00","URL",,,,0,0,21,2.09999990463257,18.8999996185303,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0006301344"
6891,,"FR.CAED/6792.INSTALLATION","FR.CAED/6792.A.INSTALLATIONPART","0006301453","NationalID","ALCEA (EX-VALORENA) (INST A)",,,"WI","47.2245","-1.50555","07/09/97 00:00:00","URL",,,,0,0,19,1.89999997615814,17.1000003814697,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0006301453"
6891,5868,"FR.CAED/6840.INSTALLATION","FR.CAED/6840.A.INSTALLATIONPART","0006301637","NationalID","ENGIE THERMIQUE FRANCE (INST A)",,,"LCP","47.32718","-2.15632","11/05/12 00:00:00",,"GasTurbine",119,0,0,0,,,,,,
6891,,"FR.CAED/6927.INSTALLATION","FR.CAED/6927.A.INSTALLATIONPART","0006302155","NationalID","COSYNERGIE53(SMECO) CVED CONSEIL DÉPART (INST A)",,,"WI","48.44152","-1.07606","08/09/01 00:00:00","URL",,,,0,0,7.19999980926514,0,7.19999980926514,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0006302155"
6891,,"FR.CAED/7002.INSTALLATION","FR.CAED/7002.A.INSTALLATIONPART","0006302581","NationalID","SAVED (INST A)",,,"WI","47.51752","0.05072","06/12/02 00:00:00","URL",,,,0,0,12.5,0,12.5,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0006302581"
6891,,"FR.CAED/7139.INSTALLATION","FR.CAED/7139.A.INSTALLATIONPART","0006303646","NationalID","BOUYER LEROUX - BRIQUE (INST A)",,,"co-WI","47.08914","-0.94991","11/17/23 00:00:00","URL",,,,0,0,2.94000005722046,0,2.94000005722046,,,"https://www.georisques.gouv.fr/risques/installations/donnees/details/0006303646"
